,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_980ti-avg_pool2d-time-xgb,cuda_980ti,avg_pool2d,time,xgb,0.9367266825200252,10.375970387268064,0.5998450764565211,0.7534376461828162,0.29145790122823717,0.4632530212402344,0.010069489479064941,0.006952310000000001,37.962999999999994,3.314063492329497,1.466915,4692
cuda_980ti-avg_pool2d-power-xgb,cuda_980ti,avg_pool2d,power,xgb,0.9571790546911494,55.42489088439941,2.3284146456814936,0.014964985532650852,1.4461093139648398,0.402340829372406,0.004912912845611572,65.936,207.425,160.81709260443307,152.66,4692
cuda_980ti-avg_pool2d-memory-xgb,cuda_980ti,avg_pool2d,memory,xgb,0.9668606015574588,1.0906473398208618,0.11460504637454876,0.16589039040762135,0.06197516247630119,0.3867338299751282,0.005626797676086426,0.09747314453125,4.89947509765625,0.9722650110061009,0.51385498046875,4692
cuda_980ti-avg_pool2d-time-ert,cuda_980ti,avg_pool2d,time,ert,0.9181914540198615,11.246528471428562,0.574848119520782,0.3132872179882047,0.2089344899999976,1.5377187132835388,0.04536426067352295,0.006952310000000001,37.962999999999994,3.314063492329497,1.466915,4692
cuda_980ti-avg_pool2d-power-ert,cuda_980ti,avg_pool2d,power,ert,0.929713590006442,46.87509285714289,2.7534823299863103,0.018111224095845556,1.4292835714286127,1.2658504247665405,0.04641163349151611,65.936,207.425,160.81709260443307,152.66,4692
cuda_980ti-avg_pool2d-memory-ert,cuda_980ti,avg_pool2d,memory,ert,0.960811442047592,1.4016556222098215,0.10509221796464942,0.11309563619147123,0.040749337332589286,1.600593090057373,0.04523634910583496,0.09747314453125,4.89947509765625,0.9722650110061009,0.51385498046875,4692
cuda_980ti-avg_pool2d-time-dTr,cuda_980ti,avg_pool2d,time,dTr,0.7624859923524354,13.675764999999998,1.1259717265415334,0.4863066325486226,0.40115275000000006,1.6348660588264465,0.0014843344688415527,0.006952310000000001,37.962999999999994,3.314063492329497,1.466915,4692
cuda_980ti-avg_pool2d-power-dTr,cuda_980ti,avg_pool2d,power,dTr,0.847960138884684,82.29400000000001,3.851985623003195,0.025136828690840208,1.805500000000002,1.4395421147346497,0.001582324504852295,65.936,207.425,160.81709260443307,152.66,4692
cuda_980ti-avg_pool2d-memory-dTr,cuda_980ti,avg_pool2d,memory,dTr,0.8724105652837895,2.009429931640625,0.20716079533163606,0.2063218213043031,0.0806884765625,1.7439078092575073,0.0015716552734375,0.09747314453125,4.89947509765625,0.9722650110061009,0.51385498046875,4692
cuda_980ti-avg_pool2d-time-MLP,cuda_980ti,avg_pool2d,time,MLP,0.9797940673608577,9.263293686927184,0.2755832409470478,0.3328442585246377,0.12163028507690665,9.413294851779938,0.013269782066345215,0.006952310000000001,37.962999999999994,3.314063492329497,1.466915,4692
cuda_980ti-avg_pool2d-power-MLP,cuda_980ti,avg_pool2d,power,MLP,0.9191466160594481,68.82029617367272,3.7157898230904824,0.023997935905089775,2.5892695966735673,26.271482408046722,0.006354391574859619,65.936,207.425,160.81709260443307,152.66,4692
cuda_980ti-avg_pool2d-memory-MLP,cuda_980ti,avg_pool2d,memory,MLP,0.990968011582947,0.9131120610623479,0.05366758040642348,0.09291003172816706,0.03042009711127855,5.9734609723091125,0.007773101329803467,0.09747314453125,4.89947509765625,0.9722650110061009,0.51385498046875,4692
cuda_980ti-conv2d-time-xgb,cuda_980ti,conv2d,time,xgb,0.7961808680739736,1118.8308115234377,13.620675941122578,11.097201392482273,1.5439699329886913,0.3552096486091614,0.005620896816253662,0.00618766,3395.5899999999997,28.517598871591083,0.8644224999999999,2690
cuda_980ti-conv2d-power-xgb,cuda_980ti,conv2d,power,xgb,0.9213684601328638,64.64104861450195,8.87703334757298,0.05340592710930635,5.733205917358404,0.3535623550415039,0.005744993686676025,80.68,273.3105,183.75761356877325,191.67275,2690
cuda_980ti-conv2d-memory-xgb,cuda_980ti,conv2d,memory,xgb,0.9489175834435506,0.6392568647861481,0.01737289196750163,0.053042691560047275,0.0032673263922333717,0.36139124631881714,0.006682753562927246,0.09796142578125,3.82012939453125,0.20893450315113848,0.11773681640625,2690
