,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_A100-avg_pool2d-time-xgb,cuda_A100,avg_pool2d,time,xgb,0.9406298927879163,4.076526288661956,0.24435896919772204,0.6616841968009838,0.12387790752407904,0.3693012595176697,0.008715152740478516,0.0132537,17.2748,1.3460943849667404,0.562268,4510
cuda_A100-avg_pool2d-power-xgb,cuda_A100,avg_pool2d,power,xgb,0.7630514179755901,116.70852777099608,22.188196114229257,0.12397628041762104,17.783879852294923,0.36572831869125366,0.010702192783355713,63.9785,347.873,209.71585210643016,226.703,4510
cuda_A100-avg_pool2d-memory-xgb,cuda_A100,avg_pool2d,memory,xgb,0.9644443553192737,2.9748703241348267,0.24297996804101635,0.12767503671502686,0.12085290253162384,0.4044853448867798,0.006447911262512207,0.40625,12.140625,2.228403027993348,1.25390625,4510
cuda_A100-avg_pool2d-time-ert,cuda_A100,avg_pool2d,time,ert,0.9295417817643918,5.267846349714285,0.21908888142318655,0.2595440359323801,0.08075077114285716,1.4614256024360657,0.04501253366470337,0.0132537,17.2748,1.3460943849667404,0.562268,4510
cuda_A100-avg_pool2d-power-ert,cuda_A100,avg_pool2d,power,ert,0.7445195793322121,109.33965357142843,23.786180970066518,0.12994723208066244,20.71655678571429,1.3577997088432312,0.045515358448028564,63.9785,347.873,209.71585210643016,226.703,4510
cuda_A100-avg_pool2d-memory-ert,cuda_A100,avg_pool2d,memory,ert,0.9584578360911831,3.5965736607142853,0.20736513724461517,0.08256261931650935,0.0748772321428571,1.5297723412513733,0.04624056816101074,0.40625,12.140625,2.228403027993348,1.25390625,4510
cuda_A100-avg_pool2d-time-dTr,cuda_A100,avg_pool2d,time,dTr,0.7224673663341775,9.9887125,0.46725863536585366,0.39178924978210633,0.13652630000000002,1.670215666294098,0.0015884041786193848,0.0132537,17.2748,1.3460943849667404,0.562268,4510
cuda_A100-avg_pool2d-power-dTr,cuda_A100,avg_pool2d,power,dTr,0.5230019844733972,178.07275000000004,26.705192073170732,0.14772638599170917,12.227062500000002,1.9129084348678589,0.0016790032386779785,63.9785,347.873,209.71585210643016,226.703,4510
cuda_A100-avg_pool2d-memory-dTr,cuda_A100,avg_pool2d,memory,dTr,0.8735498739517473,6.1357421875,0.43284184018154104,0.15850158708916992,0.149169921875,1.6441901922225952,0.0015289783477783203,0.40625,12.140625,2.228403027993348,1.25390625,4510
cuda_A100-avg_pool2d-time-MLP,cuda_A100,avg_pool2d,time,MLP,0.9591833309873316,3.552841561213281,0.1805006140703812,0.4439272641800289,0.08209376269756838,7.1395187973976135,0.005378901958465576,0.0132537,17.2748,1.3460943849667404,0.562268,4510
cuda_A100-avg_pool2d-power-MLP,cuda_A100,avg_pool2d,power,MLP,0.6257126266206978,127.5395359255948,29.241694066297743,0.1542641848534116,25.904458097605374,18.058516681194305,0.005951344966888428,63.9785,347.873,209.71585210643016,226.703,4510
cuda_A100-avg_pool2d-memory-MLP,cuda_A100,avg_pool2d,memory,MLP,0.9744365686162499,4.530355678570319,0.1728009112719689,0.08614914976565546,0.08860823863684816,8.537318050861359,0.005927622318267822,0.40625,12.140625,2.228403027993348,1.25390625,4510
cuda_A100-conv2d-time-xgb,cuda_A100,conv2d,time,xgb,0.6885710499289557,462.57213180175785,5.017279234944894,6.7829900516144415,0.4617397485346556,0.3383365273475647,0.005244731903076172,0.0131166,1139.3200000000002,8.964296247412458,0.293837,3227
