,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_K80-avg_pool2d-time-xgb,cuda_K80,avg_pool2d,time,xgb,0.9403599865714576,25.378801660156252,1.853851578098396,1.0342592137707323,0.9074946555137636,0.4657275676727295,0.0044152140617370605,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-xgb,cuda_K80,avg_pool2d,power,xgb,0.9245897757732373,35.54979280090332,2.8898447691142426,0.023825967991102235,2.1412651824951183,0.46216851472854614,0.005180537700653076,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-xgb,cuda_K80,avg_pool2d,memory,xgb,0.9648333939850695,2.3769348859786987,0.20989705193957744,0.23937883457689568,0.11153372935950756,0.48464179039001465,0.006186068058013916,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-avg_pool2d-time-ert,cuda_K80,avg_pool2d,time,ert,0.9251308726154359,43.00307797142865,1.7674083827197324,0.3361901517701084,0.6264968532857074,1.4973942041397095,0.04681974649429321,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-ert,cuda_K80,avg_pool2d,power,ert,0.9092765439042146,34.72300142857141,3.0417787605041933,0.024972436691471117,2.1407600000000517,1.2071455717086792,0.04770791530609131,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-ert,cuda_K80,avg_pool2d,memory,ert,0.9632865874086899,2.5162700544084826,0.17946563350275008,0.13459519813493934,0.06693062918526788,1.561593770980835,0.04569429159164429,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-avg_pool2d-time-dTr,cuda_K80,avg_pool2d,time,dTr,0.7617533813815509,45.197525,3.438485045669935,0.44909479481254033,1.101140375,1.6499792337417603,0.0015661120414733887,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-dTr,cuda_K80,avg_pool2d,power,dTr,0.811308141341573,52.88125000000001,4.22743287037037,0.03425352173346901,2.6288750000000025,1.4582595825195312,0.001571953296661377,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-dTr,cuda_K80,avg_pool2d,memory,dTr,0.8593703300573532,4.04949951171875,0.37204361793002794,0.236027034422004,0.1300048828125,1.6281967163085938,0.001433253288269043,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-avg_pool2d-time-liR,cuda_K80,avg_pool2d,time,liR,0.35848331125270366,67.86085929087994,7.362448564582905,14.103955381870948,4.90668331388692,0.007907390594482422,0.0012815594673156738,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-liR,cuda_K80,avg_pool2d,power,liR,0.6228841232471356,64.40456414895444,7.13895336081585,0.05867415551851146,5.9448634679466466,0.007548630237579346,0.0012348294258117676,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-liR,cuda_K80,avg_pool2d,memory,liR,0.3241543236174603,6.583370190659721,1.0976657194189712,2.9301733133762227,0.7490241718030479,0.007472991943359375,0.0011835098266601562,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-avg_pool2d-time-kNN,cuda_K80,avg_pool2d,time,kNN,0.6202872007441947,55.37001542669549,4.328609527730659,2.219358047946105,1.7088393390141825,0.010441243648529053,0.016649246215820312,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-kNN,cuda_K80,avg_pool2d,power,kNN,0.7796761178102718,51.048979093387366,5.149201557641916,0.042244286510752585,3.89636429513266,0.007937192916870117,0.012189209461212158,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-kNN,cuda_K80,avg_pool2d,memory,kNN,0.6212147162894521,6.289931061910915,0.6811706313810983,1.0652172273308116,0.2899808715067135,0.008113741874694824,0.011987447738647461,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-avg_pool2d-time-SVR,cuda_K80,avg_pool2d,time,SVR,0.6573255181981026,75.24355700723217,3.7746527698446903,2.1739862763928604,1.2215397734529212,0.5410152673721313,0.14296865463256836,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-SVR,cuda_K80,avg_pool2d,power,SVR,0.6814735243306921,58.50377019065728,6.437808114488888,0.05314606422132825,5.280618292434177,0.5581607818603516,0.15084218978881836,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-SVR,cuda_K80,avg_pool2d,memory,SVR,0.9054789810098225,4.164993111808394,0.30957149121750643,0.5487168898689461,0.11409248456356426,0.34761691093444824,0.08026331663131714,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-avg_pool2d-time-MLP,cuda_K80,avg_pool2d,time,MLP,0.9852838409745461,22.97557225725795,0.7491872415622812,0.33065886008028944,0.2871748304821351,10.215940713882446,0.006200253963470459,0.013602699999999999,111.123,9.85694168147341,4.110345000000001,4588
cuda_K80-avg_pool2d-power-MLP,cuda_K80,avg_pool2d,power,MLP,0.8234486220885183,35.26813468714794,4.991971177802647,0.04033324880988496,4.067108908726514,24.529575526714325,0.006399631500244141,63.341,170.701,125.83849814734087,122.32025,4588
cuda_K80-avg_pool2d-memory-MLP,cuda_K80,avg_pool2d,memory,MLP,0.9900269075549304,2.0133144223614776,0.09009894567027388,0.12290265960796806,0.04452868606324065,7.724544286727905,0.006602346897125244,0.066650390625,9.449462890625,1.5905909118386279,0.7713623046875,4588
cuda_K80-conv2d-time-xgb,cuda_K80,conv2d,time,xgb,0.6751027751816769,2392.791591796875,35.75453312684438,15.557245497806598,4.2772476437576294,0.3824273347854614,0.007990479469299316,0.014826200000000001,7643.49,66.44750420522251,2.07474,2719
cuda_K80-conv2d-power-xgb,cuda_K80,conv2d,power,xgb,0.9325715428124096,35.933324523925776,4.708205426131978,0.03931063586083391,3.127984489440923,0.33524465560913086,0.0043312907218933105,60.015,168.339,129.665303236484,139.258,2719
cuda_K80-conv2d-memory-xgb,cuda_K80,conv2d,memory,xgb,0.9235170123442982,1.9469230771064758,0.026831660925167585,0.07644130922413389,0.00396327767521143,0.3064107298851013,0.004303097724914551,0.066650390625,8.0523681640625,0.2019851982001655,0.087158203125,2719
cuda_K80-conv2d-time-ert,cuda_K80,conv2d,time,ert,0.6526148228850627,2693.5317859,44.51470543459165,1.9209378385078344,1.247373249499999,0.7897980809211731,0.031627357006073,0.014826200000000001,7643.49,66.44750420522251,2.07474,2719
cuda_K80-conv2d-power-ert,cuda_K80,conv2d,power,ert,0.9041836583072264,49.967031428571616,5.530580875787814,0.04647398876926973,3.5851767857142427,0.7216505408287048,0.030331790447235107,60.015,168.339,129.665303236484,139.258,2719
cuda_K80-conv2d-memory-ert,cuda_K80,conv2d,memory,ert,0.894619527238605,2.604055698939732,0.027304139017057014,0.045213896551159115,0.0008345249720982158,0.7451056838035583,0.029461324214935303,0.066650390625,8.0523681640625,0.2019851982001655,0.087158203125,2719
cuda_K80-conv2d-time-dTr,cuda_K80,conv2d,time,dTr,-0.3031192224885549,4529.93515,69.18583844710477,1.2670068115004713,0.9664399000000001,1.331448256969452,0.0015454292297363281,0.014826200000000001,7643.49,66.44750420522251,2.07474,2719
cuda_K80-conv2d-power-dTr,cuda_K80,conv2d,power,dTr,0.862481261167785,51.155,5.734382352941177,0.04678708264078784,3.012875000000001,0.8791194558143616,0.001452028751373291,60.015,168.339,129.665303236484,139.258,2719
