,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
llvm -mcpu=haswell_i7-4790-avg_pool2d-time-xgb,llvm -mcpu=haswell_i7-4790,avg_pool2d,time,xgb,0.5215423106409129,1048.1540738891601,42.274023553674105,3.032703582061941,6.452765526477814,1.626037061214447,0.030064702033996582,0.00506998,1874.79,71.1616949666357,12.19745,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-power-xgb,llvm -mcpu=haswell_i7-4790,avg_pool2d,power,xgb,0.8254452330294189,6.633267970403418,0.7843863970818814,0.01624226226547091,0.32109328239351775,2.6167900562286377,0.029340505599975586,40.113034536369106,60.445035805595076,47.58382865091262,48.19227870877684,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-memory-xgb,llvm -mcpu=haswell_i7-4790,avg_pool2d,memory,xgb,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,1.797135829925537,0.022917747497558594,-1.0,-1.0,-1.0,-1.0,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-time-ert,llvm -mcpu=haswell_i7-4790,avg_pool2d,time,ert,0.7341361974690128,756.463447714287,35.013626113006495,1.3155310719613489,6.931177279285674,0.24893516302108765,0.014539718627929688,0.00506998,1874.79,71.1616949666357,12.19745,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-power-ert,llvm -mcpu=haswell_i7-4790,avg_pool2d,power,ert,0.7605617945581087,10.406801586047076,0.8206375211998853,0.016804321072162814,0.30604911339870355,0.21790581941604614,0.016685426235198975,40.113034536369106,60.445035805595076,47.58382865091262,48.19227870877684,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-memory-ert,llvm -mcpu=haswell_i7-4790,avg_pool2d,memory,ert,1.0,-0.0,-0.0,-0.0,-0.0,0.10554873943328857,0.011849701404571533,-1.0,-1.0,-1.0,-1.0,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-time-dTr,llvm -mcpu=haswell_i7-4790,avg_pool2d,time,dTr,0.5725366934551436,722.68375,44.10221813125,1.3412765938137208,8.30143125,0.022023499011993408,0.0010953545570373535,0.00506998,1874.79,71.1616949666357,12.19745,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-power-dTr,llvm -mcpu=haswell_i7-4790,avg_pool2d,power,dTr,0.4187539017878734,13.82718536500019,1.2320590814986065,0.025115236794303594,0.37375733302254943,0.018966317176818848,0.0011884570121765137,40.113034536369106,60.445035805595076,47.58382865091262,48.19227870877684,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-memory-dTr,llvm -mcpu=haswell_i7-4790,avg_pool2d,memory,dTr,1.0,-0.0,-0.0,-0.0,-0.0,0.0030840039253234863,0.001017928123474121,-1.0,-1.0,-1.0,-1.0,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-time-liR,llvm -mcpu=haswell_i7-4790,avg_pool2d,time,liR,0.3272497305809647,1109.908754661397,80.83197531862636,197.9476732364697,42.81347688085795,0.004683196544647217,0.001068115234375,0.00506998,1874.79,71.1616949666357,12.19745,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-power-liR,llvm -mcpu=haswell_i7-4790,avg_pool2d,power,liR,0.36340249842527705,9.464265019501525,2.0437678137476385,0.04369087284282,1.693145540977568,0.004452168941497803,0.0008693933486938477,40.113034536369106,60.445035805595076,47.58382865091262,48.19227870877684,538
llvm -mcpu=haswell_i7-4790-avg_pool2d-memory-liR,llvm -mcpu=haswell_i7-4790,avg_pool2d,memory,liR,1.0,-0.0,-0.0,-0.0,-0.0,0.00339353084564209,0.0007543563842773438,-1.0,-1.0,-1.0,-1.0,538
