,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
rasp4b-conv2d-time-xgb,rasp4b,conv2d,time,xgb,0.8542990010021295,9.496242531967162,0.17755613381648575,11.13440119679909,0.025678360572837296,0.2931285500526428,0.008359074592590332,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-xgb,rasp4b,conv2d,power,xgb,-0.4392164024024604,3.1424236745834353,0.4027891185057375,0.09288030780630585,0.17896602287292468,0.30745065212249756,0.004167914390563965,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-xgb,rasp4b,conv2d,ws_size,xgb,0.8496820306095239,264114948.0,5244277.843452573,6.243041999036612,964895.5625,0.2834956645965576,0.005350708961486816,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-xgb,rasp4b,conv2d,io_size,xgb,0.9107096914001092,210737972.0,2204784.125592297,25.38428134540815,226804.80859375,0.29191917181015015,0.004358828067779541,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-conv2d-time-ert,rasp4b,conv2d,time,ert,0.7420098458626402,14.590472804285701,0.22152475198057955,0.5060807404739898,0.013567394428571546,0.5553600788116455,0.023984193801879883,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-ert,rasp4b,conv2d,power,ert,-0.3811147837413445,3.1090282485714265,0.41284937661929655,0.0942312489669681,0.1879327907142841,0.5905734300613403,0.024936139583587646,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-ert,rasp4b,conv2d,ws_size,ert,0.802327161215341,298524929.3485714,6444796.197935676,0.28622649864398014,254064.20571428686,0.5541859865188599,0.0243796706199646,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-ert,rasp4b,conv2d,io_size,ert,0.8732198044156413,277075610.3314285,2543400.3597606583,0.1460115657187593,18553.000000000007,0.47436612844467163,0.021132349967956543,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-conv2d-time-dTr,rasp4b,conv2d,time,dTr,0.645605896517985,12.820615,0.26207447252876964,0.5544645008655844,0.015933218749999988,0.3540647029876709,0.0013018250465393066,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-dTr,rasp4b,conv2d,power,dTr,-0.7563163418255663,3.3678250000000003,0.4479668331151832,0.10215012303193857,0.18639100000000025,0.42327362298965454,0.0014657974243164062,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-dTr,rasp4b,conv2d,ws_size,dTr,0.39173083134210873,592084544.0,10053686.167539267,0.4026088874012881,542594.0,0.32326018810272217,0.001389622688293457,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-dTr,rasp4b,conv2d,io_size,dTr,0.7599986843203084,230520000.0,4228680.759162304,0.16838791811701415,34.0,0.39001744985580444,0.0013036727905273438,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-conv2d-time-liR,rasp4b,conv2d,time,liR,0.18000559636185365,29.95336431063287,0.8428258178764703,528.1224630616955,0.4084131642142731,0.00562596321105957,0.0008167028427124023,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-liR,rasp4b,conv2d,power,liR,0.001850251755097565,3.195243770947134,0.38153612291868444,0.0850151310326595,0.2429661071021491,0.006504416465759277,0.0009511113166809082,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-liR,rasp4b,conv2d,ws_size,liR,0.2879054212971805,633371042.9779876,25485412.676334158,812.5183177020642,14011121.392113801,0.005375504493713379,0.0008761286735534668,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-liR,rasp4b,conv2d,io_size,liR,0.4009079524577309,340731991.55082214,15304844.914117362,2561.4572262010006,8640092.735502753,0.005846977233886719,0.0009123682975769043,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-conv2d-time-kNN,rasp4b,conv2d,time,kNN,0.5927634281012534,20.710855047998145,0.3316435890979649,1.6340738748681591,0.019281727858882734,0.005319058895111084,0.009160518646240234,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-kNN,rasp4b,conv2d,power,kNN,-0.21315526897294945,3.201265880291106,0.36749834862389386,0.08403182774432932,0.18100367274697088,0.005653321743011475,0.00999826192855835,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-kNN,rasp4b,conv2d,ws_size,kNN,0.7356894717223704,458870307.69659126,10728611.318216974,1.136616674120077,866059.9522951773,0.005869448184967041,0.008855283260345459,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-kNN,rasp4b,conv2d,io_size,kNN,0.6712104573978634,312202849.41451883,5843106.276920128,1.5788725302438917,154081.32467958934,0.005653560161590576,0.008641600608825684,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-conv2d-time-SVR,rasp4b,conv2d,time,SVR,0.33075821950788054,18.515143040637557,0.3101508890725539,64.15149195428631,0.05987190808681378,0.05347055196762085,0.011187374591827393,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-SVR,rasp4b,conv2d,power,SVR,-0.06831805222922127,3.0867880227464677,0.32776051862465605,0.07157489969939847,0.16430456014779438,0.08134907484054565,0.02205127477645874,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-SVR,rasp4b,conv2d,ws_size,SVR,-0.0844027329014021,751689013.4999181,22742364.11032972,185.80541593045962,7294320.948067074,0.09510636329650879,0.031133055686950684,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-SVR,rasp4b,conv2d,io_size,SVR,-0.06774407935121995,655235859.9043412,14133505.83514532,765.0335679761519,1831824.243754217,0.09631133079528809,0.03106468915939331,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-conv2d-time-MLP,rasp4b,conv2d,time,MLP,0.7771818332882445,14.447590929881358,0.35349524947327216,78.27879959222766,0.11372649787592731,2.4777464270591736,0.002955615520477295,5.57071e-06,40.071,0.62976961568967,0.14018,1909
rasp4b-conv2d-power-MLP,rasp4b,conv2d,power,MLP,-0.11068957376544061,3.132652579360863,0.3846780698315057,0.08710012648130122,0.2223992714117381,4.246971964836121,0.0033628344535827637,2.8355,7.6719,4.194550656888424,4.066,1909
rasp4b-conv2d-ws_size-MLP,rasp4b,conv2d,ws_size,MLP,0.41314756054936974,630487995.0980134,21360638.963042907,31.629955973590068,7122022.559655091,23.233202695846558,0.003695964813232422,288.0,929710144.0,26467918.43268727,8110192.0,1909
rasp4b-conv2d-io_size-MLP,rasp4b,conv2d,io_size,MLP,0.5970118443850748,237843850.14572507,9674037.39751517,766.0494349949483,2170156.7434019065,23.353345930576324,0.003885924816131592,16.0,807469056.0,14319010.01990571,1881600.0,1909
rasp4b-dilated_conv2d-time-xgb,rasp4b,dilated_conv2d,time,xgb,0.6339297915330648,15.962560344680785,0.2600144266600351,13.253003213364956,0.0343369836533882,0.33446168899536133,0.013256311416625977,5.57071e-06,40.071,0.6204575610010015,0.140151,2816
rasp4b-dilated_conv2d-power-xgb,rasp4b,dilated_conv2d,power,xgb,-0.040104106820317814,3.19692102098465,0.48351865594569676,0.107323123970382,0.2509033267879486,0.3155849575996399,0.004431545734405518,2.8355,7.6719,4.322041255681818,4.066,2816
rasp4b-dilated_conv2d-ws_size-xgb,rasp4b,dilated_conv2d,ws_size,xgb,0.8430614644794671,399014872.0,5906399.617403936,7.771635421368178,999841.5087890625,0.3752276301383972,0.004388988018035889,288.0,929710144.0,28140857.15340909,8266576.0,2816
rasp4b-dilated_conv2d-io_size-xgb,rasp4b,dilated_conv2d,io_size,xgb,0.8273887851591097,461162480.0,3398533.9960702667,69.27506119557695,284949.7744140625,0.32327157258987427,0.00434112548828125,16.0,1070530560.0,17001619.4375,2158272.0,2816
rasp4b-dilated_conv2d-time-ert,rasp4b,dilated_conv2d,time,ert,0.794560608404327,14.058582199999995,0.21536055475498303,0.7681005917149244,0.011346162714285981,0.9103089570999146,0.030435264110565186,5.57071e-06,40.071,0.6204575610010015,0.140151,2816
rasp4b-dilated_conv2d-power-ert,rasp4b,dilated_conv2d,power,ert,-0.23803303116946395,3.1074464157142927,0.4930822443313067,0.1088485903761933,0.20949622571428517,0.9172424077987671,0.03282850980758667,2.8355,7.6719,4.322041255681818,4.066,2816
rasp4b-dilated_conv2d-ws_size-ert,rasp4b,dilated_conv2d,ws_size,ert,0.8108820871169796,432547966.30857146,6006734.761134751,0.2465489164061991,183108.71999999945,0.8557695150375366,0.029342174530029297,288.0,929710144.0,28140857.15340909,8266576.0,2816
rasp4b-dilated_conv2d-io_size-ert,rasp4b,dilated_conv2d,io_size,ert,0.7918162048689372,580626326.6742857,3208941.2614994934,0.11839381117275277,10676.868571428542,0.7453855276107788,0.025822877883911133,16.0,1070530560.0,17001619.4375,2158272.0,2816
rasp4b-dilated_conv2d-time-dTr,rasp4b,dilated_conv2d,time,dTr,-0.38262535881111986,22.795095,0.34253293446738475,0.4894799589793235,0.011087,1.00570148229599,0.001412510871887207,5.57071e-06,40.071,0.6204575610010015,0.140151,2816
rasp4b-dilated_conv2d-power-dTr,rasp4b,dilated_conv2d,power,dTr,-0.5604157511271606,3.4413875,0.5294547163120567,0.11590337503073883,0.17053125000000002,1.3374433517456055,0.0014094114303588867,2.8355,7.6719,4.322041255681818,4.066,2816
rasp4b-dilated_conv2d-ws_size-dTr,rasp4b,dilated_conv2d,ws_size,dTr,0.5655550067655546,551793732.0,8445244.54609929,0.316813351460582,216064.0,0.9033032059669495,0.0014327764511108398,288.0,929710144.0,28140857.15340909,8266576.0,2816
rasp4b-dilated_conv2d-io_size-dTr,rasp4b,dilated_conv2d,io_size,dTr,0.7480651974178807,435440640.0,5010294.308510639,0.1713848408137187,-0.0,1.1392066478729248,0.0014464855194091797,16.0,1070530560.0,17001619.4375,2158272.0,2816
rasp4b-dilated_conv2d-time-liR,rasp4b,dilated_conv2d,time,liR,0.19550230878059682,23.371485707169924,0.7986338420390686,502.037581798976,0.45350659989449965,0.008403420448303223,0.0012328028678894043,5.57071e-06,40.071,0.6204575610010015,0.140151,2816
rasp4b-dilated_conv2d-power-liR,rasp4b,dilated_conv2d,power,liR,0.03865313850179533,3.2830627869410014,0.5302940757881817,0.11435091990342933,0.36444686702018,0.008188307285308838,0.0011314749717712402,2.8355,7.6719,4.322041255681818,4.066,2816
rasp4b-dilated_conv2d-ws_size-liR,rasp4b,dilated_conv2d,ws_size,liR,0.33558416421563647,724987183.1256964,25337298.212087497,426.05989317610056,12890407.70645788,0.008054792881011963,0.0011208653450012207,288.0,929710144.0,28140857.15340909,8266576.0,2816
rasp4b-dilated_conv2d-io_size-liR,rasp4b,dilated_conv2d,io_size,liR,0.33667589413655263,632648485.4786937,20499289.953829855,6995.782942091293,12048115.128519315,0.00803530216217041,0.0011363029479980469,16.0,1070530560.0,17001619.4375,2158272.0,2816
rasp4b-dilated_conv2d-time-kNN,rasp4b,dilated_conv2d,time,kNN,0.5442508996778548,13.147348968661387,0.28160212751654545,3.092006154658183,0.029988770320015394,0.006581425666809082,0.021741151809692383,5.57071e-06,40.071,0.6204575610010015,0.140151,2816
rasp4b-dilated_conv2d-power-kNN,rasp4b,dilated_conv2d,power,kNN,-0.15858966747994852,3.2272803193200525,0.4951681210317665,0.10845837264260559,0.21530551896164246,0.006758391857147217,0.018562138080596924,2.8355,7.6719,4.322041255681818,4.066,2816
rasp4b-dilated_conv2d-ws_size-kNN,rasp4b,dilated_conv2d,ws_size,kNN,0.677402193901387,576965688.2662809,12147517.900544632,1.1124911802832802,1207405.3326903023,0.00674206018447876,0.0188828706741333,288.0,929710144.0,28140857.15340909,8266576.0,2816
rasp4b-dilated_conv2d-io_size-kNN,rasp4b,dilated_conv2d,io_size,kNN,0.6216315847498883,411994955.0114497,8073257.007377684,2.4101580249540926,310004.6245160875,0.00682675838470459,0.01876741647720337,16.0,1070530560.0,17001619.4375,2158272.0,2816
