,device,workload,metric,predictor,r2,max_error,mae,mape,medae,fit_time,score_time,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
llvm -mcpu=haswell_E5-2680-avg_pool2d-time-xgb,llvm -mcpu=haswell_E5-2680,avg_pool2d,time,xgb,0.8876455812324086,387.43625909423827,16.47035802445846,3.7066191681288383,5.503138728687286,0.3226972818374634,0.004579126834869385,0.00571263,1238.17,52.093205365557075,13.116100000000001,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-power-xgb,llvm -mcpu=haswell_E5-2680,avg_pool2d,power,xgb,0.7586840752397876,28.933685302734375,3.3343992968128155,0.03796682825363634,2.2074527740478516,0.31472450494766235,0.004378676414489746,45.0,120.0,92.34898868700719,93.0,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-memory-xgb,llvm -mcpu=haswell_E5-2680,avg_pool2d,memory,xgb,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,0.2079181671142578,0.004526317119598389,-1.0,-1.0,-1.0,-1.0,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-time-ert,llvm -mcpu=haswell_E5-2680,avg_pool2d,time,ert,0.8556525853026422,352.34773957142795,14.31049255124418,0.7619057801527985,3.014131027142847,0.8934246301651001,0.03194129467010498,0.00571263,1238.17,52.093205365557075,13.116100000000001,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-power-ert,llvm -mcpu=haswell_E5-2680,avg_pool2d,power,ert,0.6552285479425672,36.015,3.9044960861056754,0.04511980081013399,2.460000000000001,0.7588667869567871,0.03232830762863159,45.0,120.0,92.34898868700719,93.0,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-memory-ert,llvm -mcpu=haswell_E5-2680,avg_pool2d,memory,ert,1.0,-0.0,-0.0,-0.0,-0.0,0.0992998480796814,0.012639224529266357,-1.0,-1.0,-1.0,-1.0,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-time-dTr,llvm -mcpu=haswell_E5-2680,avg_pool2d,time,dTr,0.6342686130203089,651.4304999999999,24.663834991365583,0.7647059302733759,4.788125000000001,0.7390992045402527,0.0015573501586914062,0.00571263,1238.17,52.093205365557075,13.116100000000001,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-power-dTr,llvm -mcpu=haswell_E5-2680,avg_pool2d,power,dTr,0.5505681599883703,36.75,4.29173801369863,0.048121170543308056,2.875,0.5679612159729004,0.0014640092849731445,45.0,120.0,92.34898868700719,93.0,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-memory-dTr,llvm -mcpu=haswell_E5-2680,avg_pool2d,memory,dTr,1.0,-0.0,-0.0,-0.0,-0.0,0.004022121429443359,0.0008984208106994629,-1.0,-1.0,-1.0,-1.0,2917
llvm -mcpu=haswell_E5-2680-avg_pool2d-time-liR,llvm -mcpu=haswell_E5-2680,avg_pool2d,time,liR,0.28932061818505883,921.9256771423477,49.97824518872497,76.5015919551749,30.289291118395255,0.0047029852867126465,0.000815272331237793,0.00571263,1238.17,52.093205365557075,13.116100000000001,2917
