,device,workload,metric,predictor,r2,max_error,mae,mape,medae,dataset_min,dataset_max,dataset_mean,dataset_median,dataset_size
cuda_980ti-avg_pool2d-time-xgb:375,cuda_980ti,avg_pool2d,time,xgb,0.6969154364763883,15.965669631958008,1.228415610943777,1.3464035415214364,0.5485401113891601,0.00779846,23.900100000000002,3.610423895413333,1.471,375
cuda_980ti-avg_pool2d-time-xgb:750,cuda_980ti,avg_pool2d,time,xgb,0.7722355845657751,20.855161666870117,1.027679967912316,1.185953419900956,0.4734698367500305,0.007390109999999999,24.2825,3.453831190533333,1.471,750
cuda_980ti-avg_pool2d-time-xgb:1125,cuda_980ti,avg_pool2d,time,xgb,0.8313916756281075,20.49626922607422,0.8396644502491238,0.8669943194301888,0.4113643429660797,0.007390109999999999,25.921400000000002,3.46267082928,1.471,1125
cuda_980ti-avg_pool2d-time-xgb:1500,cuda_980ti,avg_pool2d,time,xgb,0.8489549861439094,18.887657165527344,0.803949397669426,0.8470484160315433,0.3855619631767273,0.0073323799999999995,25.921400000000002,3.39308625546,1.471,1500
cuda_980ti-avg_pool2d-time-xgb:1875,cuda_980ti,avg_pool2d,time,xgb,0.8700083520381517,19.608366012573242,0.7614956099542839,0.8967248766339927,0.369489320438385,0.0069828600000000005,25.921400000000002,3.378210431989333,1.471,1875
cuda_980ti-avg_pool2d-time-xgb:2250,cuda_980ti,avg_pool2d,time,xgb,0.897225397608159,18.18829345703125,0.7126331460754431,0.8275957548413435,0.3405840913471222,0.0069828600000000005,25.921400000000002,3.3567719933688887,1.471,2250
cuda_980ti-avg_pool2d-time-xgb:2625,cuda_980ti,avg_pool2d,time,xgb,0.8970331882043282,18.150920867919922,0.6629083085289305,0.7682129703193253,0.2903253292467117,0.0069828600000000005,25.921400000000002,3.328920594266667,1.471,2625
cuda_980ti-avg_pool2d-time-xgb:3000,cuda_980ti,avg_pool2d,time,xgb,0.9092122441986286,19.076852798461914,0.6445830065960895,0.9079733503409858,0.31970150833129907,0.0069828600000000005,25.921400000000002,3.3638685189966666,1.471,3000
cuda_980ti-avg_pool2d-time-xgb:3375,cuda_980ti,avg_pool2d,time,xgb,0.9204179261115605,19.93082618713379,0.6194227242356637,0.8119011403477373,0.3125745197677612,0.0069828600000000005,25.921400000000002,3.3285193566192595,1.471,3375
cuda_980ti-avg_pool2d-time-xgb:3750,cuda_980ti,avg_pool2d,time,xgb,0.9322366169611528,22.776504516601562,0.5889439300282358,0.6964928374351514,0.3035737198791504,0.0069828600000000005,25.921400000000002,3.344983585341333,1.471,3750
cuda_980ti-avg_pool2d-power-xgb:375,cuda_980ti,avg_pool2d,power,xgb,0.8277694071427966,200.45877075195312,4.626796621304351,0.02966039500218116,2.678241577148441,99.784,201.978,160.895792,152.5795,375
cuda_980ti-avg_pool2d-power-xgb:750,cuda_980ti,avg_pool2d,power,xgb,0.8725153241560852,205.05979919433594,3.8398624277328155,0.024544616132597796,2.238155151367181,65.936,204.491,160.534506,152.5795,750
cuda_980ti-avg_pool2d-power-xgb:1125,cuda_980ti,avg_pool2d,power,xgb,0.8921188031547228,205.12428283691406,3.489810999276158,0.022604219203422347,2.0705209960937623,65.936,206.736,161.50552577777776,152.5795,1125
cuda_980ti-avg_pool2d-power-xgb:1500,cuda_980ti,avg_pool2d,power,xgb,0.9138580378823401,203.6201629638672,3.159308167348908,0.020403081533913202,1.8073114013672011,65.936,207.30149999999998,161.06341066666664,152.5795,1500
cuda_980ti-avg_pool2d-power-xgb:1875,cuda_980ti,avg_pool2d,power,xgb,0.9216731380557946,205.8836212158203,3.0333245938009594,0.01951830260424602,1.6456353759765534,65.936,207.30149999999998,160.91724773333334,152.5795,1875
cuda_980ti-avg_pool2d-power-xgb:2250,cuda_980ti,avg_pool2d,power,xgb,0.9405586884794759,206.59454345703125,2.788371274775464,0.017830906973631804,1.6261353759765598,65.936,207.30149999999998,160.89324577777776,152.5795,2250
cuda_980ti-avg_pool2d-power-xgb:2625,cuda_980ti,avg_pool2d,power,xgb,0.9465554744829651,205.10818481445312,2.6320398009668904,0.016894027019840236,1.6037198486328066,65.936,207.30149999999998,160.95687352380952,152.5795,2625
cuda_980ti-avg_pool2d-power-xgb:3000,cuda_980ti,avg_pool2d,power,xgb,0.9534718006023039,204.3436279296875,2.4263163102447542,0.015482540963650948,1.5228228759765727,65.936,207.30149999999998,160.92137233333332,152.5795,3000
cuda_980ti-avg_pool2d-power-xgb:3375,cuda_980ti,avg_pool2d,power,xgb,0.9527125250713703,206.49497985839844,2.339195875856442,0.014903328689740272,1.3819250488281227,65.936,207.30149999999998,160.71273777777776,152.5795,3375
cuda_980ti-avg_pool2d-power-xgb:3750,cuda_980ti,avg_pool2d,power,xgb,0.9512136128445503,204.92340087890625,2.3537386382309133,0.015058068750395646,1.3298269042968798,65.936,207.30149999999998,160.80174746666665,152.5795,3750
cuda_980ti-avg_pool2d-memory-xgb:375,cuda_980ti,avg_pool2d,memory,xgb,0.8331191473835956,3.5764927864074707,0.2524793408751583,0.3624798916749916,0.12268581986427307,0.09747314453125,3.95184326171875,1.1026612955729167,0.51092529296875,375
cuda_980ti-avg_pool2d-memory-xgb:750,cuda_980ti,avg_pool2d,memory,xgb,0.89070004868694,3.737318515777588,0.1984169470199361,0.2711987686606919,0.09646356105804443,0.09747314453125,3.96026611328125,1.0405916341145833,0.51092529296875,750
cuda_980ti-avg_pool2d-memory-xgb:1125,cuda_980ti,avg_pool2d,memory,xgb,0.9203202366736754,3.9229161739349365,0.1681989759059982,0.2435703031653961,0.07781672477722168,0.09747314453125,4.75677490234375,1.0314498155381944,0.51092529296875,1125
cuda_980ti-avg_pool2d-memory-xgb:1500,cuda_980ti,avg_pool2d,memory,xgb,0.9455240188553605,4.199618816375732,0.14239479082460982,0.21093086715545806,0.07430171966552734,0.09747314453125,4.75677490234375,1.0116953938802082,0.51092529296875,1500
